ax,ay,az,gx,gy,gz,class
0.725,0.215,-0.695,-2.563,6.348,0.977,1
0.716,0.158,-0.675,-0.122,2.014,-2.869,1
0.737,0.076,-0.617,0.916,1.038,3.540,1
0.666,0.192,-0.679,-3.296,4.028,5.310,1
0.721,0.127,-0.659,2.319,-1.282,2.991,1
0.707,0.108,-0.647,0.061,1.343,-2.686,1
0.699,0.181,-0.693,1.160,2.136,5.493,1
0.728,0.199,-0.686,2.136,-3.967,-3.174,1
0.728,0.163,-0.660,0.732,0.366,2.563,1
0.714,0.161,-0.675,0.183,3.967,0.916,1
0.003,-0.050,0.983,0.610,0.427,0.244,0
0.004,-0.051,0.984,0.854,0.549,0.122,0
0.006,-0.053,0.985,0.732,0.732,0.183,0
0.004,-0.047,0.984,0.732,0.610,0.122,0
0.006,-0.051,0.984,0.732,0.671,0.061,0
0.006,-0.052,0.985,0.549,0.488,0.000,0
0.005,-0.049,0.985,0.427,0.671,-0.244,0
0.006,-0.050,0.985,0.671,0.549,0.122,0
0.005,-0.050,0.984,0.610,0.671,0.061,0
0.005,-0.050,0.984,0.732,0.732,-15.503,0
